"experiment_id","fit_id","data_id","data_index","data_seed","scenario_id","method_id","route_id","seed_index","fit_seed","initialization","function_initialization","pre_score_sweeps","anneal","planned_annealing_sweeps","planned_ordinary_t1_sweeps","total_maxit","n_cpus","objective_eligibility_required","truth_free_winner_candidate","cross_model_elbo_comparison_forbidden","actual_racing","continuation","automatic_800","truth_available_to_fit","truth_available_to_stopping","truth_available_to_selection","engineering_pilot","formal_v0lv_result","formal_paper_mc_result"
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_base_01__pooled_bayesSYNC__01","g12pp_base_01",1,82929001,"baseline_strong","pooled_bayesSYNC","pooled_two_studies_fit_once_Q3_L2",1,88390001,"reference_random","reference_default",0,"c(1,1.9,100)",99,200,299,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__01","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",1,88290201,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__02","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",2,88290202,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__03","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",3,88290203,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__04","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",4,88290204,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__05","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",5,88290205,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__06","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",6,88290206,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__07","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",7,88290207,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__08","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",8,88290208,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__09","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",9,88290209,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__10","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",10,88290210,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__11","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",11,88290211,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__G12__12","g12pp_weak_01",2,82929002,"weak_loading_separation","G12","random__gram_unit_energy__pre1__jaoua_default__multistart12__fixed400",12,88290212,"random","gram_unit_energy",1,"c(1,1.9,100)",99,400,499,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"G12_PAPER_PIPELINE_PILOT_V1_20260829","g12pp_weak_01__pooled_bayesSYNC__01","g12pp_weak_01",2,82929002,"weak_loading_separation","pooled_bayesSYNC","pooled_two_studies_fit_once_Q3_L2",1,88390002,"reference_random","reference_default",0,"c(1,1.9,100)",99,200,299,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
